created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Wed Feb 08 08:36:30 +0000 2023,1623239336564232193,"[TRANS] 🐶 080223  OP : aku nonton ulang treasure map dari episode pertama, seru banget. pas ini beli es krim lagi gak???  🐶 : @.choihyunsuk bang, pas ini emang beli lagi??  @treasuremembers https://t.co/xvtQmwgozt",36,41,123,1794,in,1376469852479574020,1623239336564232193,teuverse_id,https://twitter.com/teuverse_id/status/1623239336564232193,treasuremembers
Wed Feb 08 04:19:43 +0000 2023,1623174714964447234,the visual from jikjin era🤍  #ASAHI #아사히 #TREASURE #트레저 https://t.co/ZxaVyc6AZD,84,0,884,3963,in,1452156544624168960,1623174714964447234,ASAHIFEEDS,https://twitter.com/ASAHIFEEDS/status/1623174714964447234,
Wed Feb 08 04:00:30 +0000 2023,1623169877157761024,"[TRANS] 🐨 080223  Teume, kalian tidurnya nyenyak gak hari ini!? 🌠 Semoga mimpi kalian indah dan semoga kalian bahagia hari ini!!! ♥️ Treasure sama Treasure Maker selalu dukung satu sama lain!?🔥🔥🔥😝  @treasuremembers https://t.co/nJZCS8Egmi",79,27,345,1583,in,1376469852479574020,1623169877157761024,teuverse_id,https://twitter.com/teuverse_id/status/1623169877157761024,treasuremembers
Mon Feb 06 13:13:55 +0000 2023,1622584375425798144,"Ruto : bagi pap woi Gue : wa woi ngajak gelud lo? nih pap Ruto : maaf ya ay, pap lgi dong, nnti dibeliin es krim Gue : aaaa mauu, oke ni Ruto: aw cantikk bgt bidadari gue &lt mengsalting&amp the end&gt  #TreasureMakerSelcaDay #TMSD #TeumeSelcaDay #HARUTO #하루토 #TREASURE @treasuremembers https://t.co/rOjCFS6RY2",2,121,326,412,in,890484224033144832,1622584375425798144,mrtrdyfh_,https://twitter.com/mrtrdyfh_/status/1622584375425798144,treasuremembers
Mon Feb 06 11:46:08 +0000 2023,1622562280486625280,[yg_treasure_tiktok] 230206  BAD BOY'S SELFIE 📸🐺  🖇️ https://t.co/0UpquFAlc7  #TREASURE #트레저 #トレジャー  @treasuremembers https://t.co/dy28dD46Wv,82,0,369,2413,in,1469253385312370690,1622562280486625280,trsrupdates,https://twitter.com/trsrupdates/status/1622562280486625280,treasuremembers
Mon Feb 06 03:17:45 +0000 2023,1622434343988912132,Hamada Asahi from Treasure   #ASAHI #아사히 #TREASURE #트레저 https://t.co/rwLxuhBJ6S,76,8,1442,5323,in,1452156544624168960,1622434343988912132,ASAHIFEEDS,https://twitter.com/ASAHIFEEDS/status/1622434343988912132,
Sun Feb 05 15:53:31 +0000 2023,1622262150445305856,‼️ GIVEAWAY TIME‼️  Alhamdulillah karena tahun ini aku dikasih kesempatan buat nonton tds 2 &amp  treasure jakarta. jadi aku bakal giveaway saldo 50k &amp  tas pvc untuk 2 org pemenang 🤗♥️  - CUKUP LIKE &amp  RT POSTINGAN INI - END TANGGAL 10 FEBRUARI  GOODLUCK SENGKU💪 https://t.co/AXATPkEGyw,6,377,1355,1298,in,1479852778541383682,1622262150445305856,wooswans,https://twitter.com/wooswans/status/1622262150445305856,
Sun Feb 05 15:48:54 +0000 2023,1622260987306070016,YG J-LINE 🇯🇵   #BABYMONSTER #RUKA #ASA #TREASURE #YOSHI #HARUTO #ASAHI https://t.co/JFBAM38rRS,87,6,1584,5013,in,1444545494517051396,1622260987306070016,mybaemonster,https://twitter.com/mybaemonster/status/1622260987306070016,
Sun Feb 05 07:28:39 +0000 2023,1622135096206827520,[TRANS] 🐶 050223  OP : bayi-bayi ini vibenya kayak pas gede nanti jadi member treasure deh??  🐶 : pertemuan si botak sama si poni unik ☀️  @treasuremembers https://t.co/L7RGAYeKhR,409,229,638,4459,in,1376469852479574020,1622135096206827520,teuverse_id,https://twitter.com/teuverse_id/status/1622135096206827520,treasuremembers
Sun Feb 05 04:56:13 +0000 2023,1622096736255868928,"teume! salfok nomor di koper yoshi asahi, nomor absen member treasure😂 https://t.co/HQUq502yzI",75,84,262,4767,in,1271439514460753920,1622096736255868928,treasuremenfess,https://twitter.com/treasuremenfess/status/1622096736255868928,
